detected_at	model	serial	status	source
2026-09-04T13:50:09+00:00	DP18	02503	RECOVERY_DP18	stato persistente
2026-09-04	DP18	02504	RECOVERED	field-validation
2026-09-04	DP18	02514	RECOVERED	field-validation
2026-09-04T13:49:27+00:00	DP18	02516	RECOVERY_DP18	stato persistente
2026-09-04T13:50:18+00:00	DP18	02522	RECOVERY_DP18	stato persistente
2026-09-04T13:50:39+00:00	DP18	02536	RECOVERY_DP18	stato persistente
2026-09-04T13:47:48+00:00	DP18	02539	RECOVERY_DP18	stato persistente
2026-09-04T13:49:16+00:00	DP18	02542	RECOVERY_DP18	stato persistente
2026-09-04	DP18	02550	DETECTED_RECOVERY_STARTED	field-validation
2026-09-04T13:23:29+00:00	DP18	02551	RECOVERY_DP18	stato persistente
2026-09-04T13:48:53+00:00	DP18	02554	RECOVERY_DP18	/root/sent/DP18Alarm_02554_20260811_195342.xml
2026-09-04T13:50:49+00:00	DP18	02556	RECOVERY_DP18	stato persistente
2026-09-04T13:50:28+00:00	DP18	02571	RECOVERY_DP18	stato persistente
2026-09-04T13:51:00+00:00	DP18	02572	RECOVERY_DP18	stato persistente
2026-09-04T13:49:48+00:00	DP18	02603	RECOVERY_DP18	stato persistente
